created_at,entry_id,field1,field2,field3,field4,field5,field6,field7
2020-04-15 16:55:53 -0400,19321,23.70,39,0.00,0.00,,,
2020-04-15 16:56:11 -0400,19322,23.60,39,0.00,0.00,,,
2020-04-15 16:56:29 -0400,19323,23.70,39,0.00,0.00,,,
2020-04-15 16:56:47 -0400,19324,23.70,39,0.00,0.00,,,
2020-04-15 16:57:06 -0400,19325,23.70,39,0.00,0.00,,,
2020-04-15 16:57:24 -0400,19326,23.70,39,0.00,0.00,,,
2020-04-15 16:57:42 -0400,19327,23.70,39,0.00,0.00,,,
2020-04-15 16:58:00 -0400,19328,23.70,34,0.00,0.00,,,
2020-04-15 16:58:18 -0400,19329,23.70,34,0.00,0.00,,,
2020-04-15 16:58:36 -0400,19330,23.70,39,0.00,0.00,,,
2020-04-15 16:58:54 -0400,19331,23.70,39,0.00,0.00,,,
2020-04-15 16:59:12 -0400,19332,23.60,39,0.00,0.00,,,
2020-04-15 16:59:30 -0400,19333,23.80,39,0.00,0.00,,,
2020-04-15 16:59:53 -0400,19334,23.80,39,0.00,0.00,,,
2020-04-15 17:00:12 -0400,19335,23.80,39,0.00,0.00,,,
2020-04-15 17:00:30 -0400,19336,23.80,39,0.00,0.00,,,
2020-04-15 17:00:48 -0400,19337,23.80,39,0.00,0.00,,,
2020-04-15 17:01:06 -0400,19338,23.80,39,0.00,0.00,,,
2020-04-15 17:01:24 -0400,19339,23.80,39,0.00,0.00,,,
2020-04-15 17:01:42 -0400,19340,23.80,34,0.00,0.00,,,
2020-04-15 17:02:00 -0400,19341,23.80,39,0.00,0.00,,,
2020-04-15 17:02:18 -0400,19342,23.90,39,0.00,0.00,,,
2020-04-15 17:02:36 -0400,19343,23.80,34,0.00,0.00,,,
2020-04-15 17:02:54 -0400,19344,23.80,34,0.00,0.00,,,
2020-04-15 17:03:12 -0400,19345,23.80,34,0.00,0.00,,,
2020-04-15 17:03:31 -0400,19346,23.80,39,0.00,0.00,,,
2020-04-15 17:03:49 -0400,19347,23.70,34,0.00,0.00,,,
2020-04-15 17:04:07 -0400,19348,23.80,39,0.00,0.00,,,
2020-04-15 17:04:25 -0400,19349,24.00,34,0.00,0.00,,,
2020-04-15 17:04:43 -0400,19350,23.80,39,0.00,0.00,,,
2020-04-15 17:05:01 -0400,19351,23.80,40,0.00,0.00,,,
2020-04-15 17:05:19 -0400,19352,23.70,38,0.00,0.00,,,
2020-04-15 17:05:37 -0400,19353,23.70,39,0.00,0.00,,,
2020-04-15 17:05:55 -0400,19354,23.80,34,0.00,0.00,,,
2020-04-15 17:06:13 -0400,19355,23.90,39,0.00,0.00,,,
2020-04-15 17:06:31 -0400,19356,23.80,39,0.00,0.00,,,
2020-04-15 17:06:50 -0400,19357,23.70,39,0.00,0.00,,,
